,NAME,ADDRESS,CITY,COUNTY,LON,LAT,geometry
128022,靓聊亭,瓯湖线,温州市,瓯海区,120.491531,28.036554,POINT (120.491531 28.036554)
128023,三岩寺,502县道,丽水市,莲都区,119.783417,28.562975,POINT (119.783417 28.562975)
128095,六平庵,,金华市,义乌市,119.860382,29.333986,POINT (119.860382 29.333986)
128096,猢狲岩,,金华市,义乌市,119.910492,29.080153,POINT (119.910492 29.080153)
128101,北镇楼、龙井,解放路,金华市,东阳市,120.232178,29.266504,POINT (120.232178 29.266504)
128307,仙岩山自然公园,徐西线,杭州市,萧山区,120.106682,29.890631,POINT (120.106682 29.890631)
128372,大鹿坞,,台州市,玉环市,121.404129,28.088305,POINT (121.404129 28.088305)
128375,白云源景区,富春江镇,杭州市,桐庐县,119.724319,29.706846,POINT (119.724319 29.706846)
128376,琴溪香谷景区,瑶琳镇,杭州市,桐庐县,119.593063,29.960022,POINT (119.593063 29.960022)
128423,古钱塘门,湖滨路北端,杭州市,上城区,120.159256,30.257841,POINT (120.159256 30.257841)
128424,汪宅,望江路266号,杭州市,上城区,120.172966,30.238005,POINT (120.172966 30.238005)
128425,思鑫坊建筑群,思鑫坊40附近,杭州市,上城区,120.165314,30.255739,POINT (120.165314 30.255739)
128452,拱宸桥,桥弄街2附近,杭州市,拱墅区,120.138947,30.318417,POINT (120.138947 30.318417)
128495,古田山,古田山庄,衢州市,开化县,118.115089,29.240202,POINT (118.115089 29.240202)
128500,浙西三峡,昌化镇河桥古镇,杭州市,临安市,119.258804,30.089567,POINT (119.258804 30.089567)
128501,浙西三峡,昌化镇河桥古镇,杭州市,临安区,119.258804,30.089567,POINT (119.258804 30.089567)
128531,青藤书屋,前观巷大乘弄10号,绍兴市,越城区,120.578583,29.995003,POINT (120.578583 29.995003)
128543,大奇山国家森林公园,富春江南岸(近大奇山),杭州市,桐庐县,119.731422,29.755665,POINT (119.731422 29.755665)
128676,九咆界风景区,屏门乡上西村,杭州市,淳安县,119.007736,29.931211,POINT (119.007736 29.931211)
130443,全园,曹上线,金华市,金东区,119.790504,29.112753,POINT (119.790504 29.112753)
130565,天师宫,胜南路1号,台州市,温岭市,121.56459,28.375559,POINT (121.56459 28.375559)
130622,赤松亭,罗电线,金华市,婺城区,119.62632,29.201172,POINT (119.62632 29.201172)
130624,金华山智者寺修复委员会,,金华市,婺城区,119.628319,29.165913,POINT (119.628319 29.165913)
130634,贾氏石牌坊,十白线,金华市,金东区,119.725456,29.055773,POINT (119.725456 29.055773)
130637,天山门,清钦路附近,金华市,金东区,119.671638,29.178917,POINT (119.671638 29.178917)
130638,赤松道院,赤松黄大仙道院,金华市,金东区,119.672203,29.178417,POINT (119.672203 29.178417)
130642,鹊尾桥,东黄线,金华市,金东区,119.767761,29.123894,POINT (119.767761 29.123894)
130645,艾青故居,付村镇畈田蒋村,金华市,金东区,119.891777,29.250986,POINT (119.891777 29.250986)
130666,三清宫,旌孝街65号,金华市,婺城区,119.665932,29.104036,POINT (119.665932 29.104036)
130670,双龙古堡,罗电线附近,金华市,婺城区,119.622704,29.202267,POINT (119.622704 29.202267)
130674,石拱桥,汤苏线,金华市,婺城区,119.5037,28.893034,POINT (119.5037 28.893034)
130680,冰壶洞,双龙景区,金华市,婺城区,119.627151,29.202248,POINT (119.627151 29.202248)
130681,太平天国侍王府,将军路鼓楼里,金华市,婺城区,119.664528,29.102579,POINT (119.664528 29.102579)
130688,尖峰山风景区,迎宾大道支线附近,金华市,婺城区,119.640907,29.166605,POINT (119.640907 29.166605)
130725,龙鸣风景区,古山镇217省道辅路,金华市,永康市,120.155151,28.970175,POINT (120.155151 28.970175)
130730,五指岩风景区,唐先镇中山村中山南路98号,金华市,永康市,120.122757,29.077299,POINT (120.122757 29.077299)
130745,青坑古树群,吴郑线,金华市,武义县,119.61972,28.637308,POINT (119.61972 28.637308)
130751,忠孝堂,壶山上街169号,金华市,武义县,119.810051,28.891188,POINT (119.810051 28.891188)
130760,胡府景区,石四线,金华市,永康市,120.200714,28.96114,POINT (120.200714 28.96114)
130763,浙东人民解放军第六支队纪念碑,黄杨线杨溪水库下寮村内,金华市,永康市,120.161003,28.878304,POINT (120.161003 28.878304)
130765,灵岩寺,双舟线灵岩景区附近,金华市,永康市,120.177368,28.89683,POINT (120.177368 28.89683)
130767,广慈寺,方岩镇方岩山风景区,金华市,永康市,120.19265,28.924976,POINT (120.19265 28.924976)
130768,胡公庙,方岩宅六村,金华市,永康市,120.19548,28.921576,POINT (120.19548 28.921576)
130769,大灵庙,,金华市,永康市,119.949661,28.791117,POINT (119.949661 28.791117)
130770,老虎祠堂,G25长深高速附近,金华市,武义县,119.848511,28.934147,POINT (119.848511 28.934147)
130782,灵赫庙,长安街202号附近,金华市,武义县,119.93969,28.869444,POINT (119.93969 28.869444)
130785,陈堰殿,历王线,金华市,武义县,119.765549,28.912767,POINT (119.765549 28.912767)
131315,畅和园,康庄南街188号明清民居博览城内,金华市,东阳市,120.332664,29.141665,POINT (120.332664 29.141665)
132232,空相禅寺,,宁波市,海曙区,121.316406,29.796167,POINT (121.316406 29.796167)
132813,工部,龙门镇牌楼龙门古镇内,杭州市,富阳区,119.951675,29.901026,POINT (119.951675 29.901026)
132816,居易堂,龙门镇牌楼龙门古镇内,杭州市,富阳区,119.952003,29.900717,POINT (119.952003 29.900717)
132818,明前园,龙门镇牌楼龙门古镇内,杭州市,富阳区,119.950317,29.898739,POINT (119.950317 29.898739)
132819,孙氏宗祠(龙胡线),龙门镇牌楼龙门古镇内,杭州市,富阳区,119.950737,29.898834,POINT (119.950737 29.898834)
132820,陈箴堂,龙门镇牌楼龙门古镇内,杭州市,富阳区,119.953308,29.899162,POINT (119.953308 29.899162)
132821,子孙厅,龙门镇牌楼龙门古镇内,杭州市,富阳区,119.953873,29.899757,POINT (119.953873 29.899757)
132822,石头桥,307省道附近,杭州市,富阳区,119.952972,29.900499,POINT (119.952972 29.900499)
