,NAME,ADDRESS,TELEPHONE,PROVINCE,CITY,COUNTY,CODE,LON,LAT,TYPECODE,BASETYPE,SUBTYPE,CATEGORY,geometry
24070,青山服务区,,,浙江省,湖州市,吴兴区,330502,120.054771,30.664728,180300,道路附属设施,服务区,高速服务区,POINT (120.054771 30.664728)
24081,南浔服务区,,,浙江省,湖州市,南浔区,330503,120.251595,30.793169,180300,道路附属设施,服务区,高速服务区,POINT (120.251595 30.793169)
24082,南浔服务区,,,浙江省,湖州市,南浔区,330503,120.250816,30.792072,180300,道路附属设施,服务区,高速服务区,POINT (120.250816 30.792072)
24086,安吉服务区,南北庄村附近,,浙江省,湖州市,安吉县,330523,119.732285,30.655842,180300,道路附属设施,服务区,高速服务区,POINT (119.732285 30.655842)
24087,安吉服务区,,,浙江省,湖州市,安吉县,330523,119.733711,30.656807,180300,道路附属设施,服务区,高速服务区,POINT (119.733711 30.656807)
24095,德清服务区,禹越镇天皇殿村,,浙江省,湖州市,德清县,330521,120.303345,30.582308,180300,道路附属设施,服务区,高速服务区,POINT (120.303345 30.582308)
24096,德清服务区,,,浙江省,湖州市,德清县,330521,120.302994,30.580858,180300,道路附属设施,服务区,高速服务区,POINT (120.302994 30.580858)
24123,湖州服务区,,,浙江省,湖州市,吴兴区,330502,120.221786,30.892984,180300,道路附属设施,服务区,高速服务区,POINT (120.221786 30.892984)
24367,南岸服务区,,,浙江省,宁波市,慈溪市,330282,121.185959,30.32481,180300,道路附属设施,服务区,高速服务区,POINT (121.185959 30.32481)
24368,南岸服务区,庵东镇虹桥大道,,浙江省,宁波市,慈溪市,330282,121.184296,30.324917,180300,道路附属设施,服务区,高速服务区,POINT (121.184296 30.324917)
24403,慈城服务区,慈城镇妙山八字村,,浙江省,宁波市,江北区,330205,121.425278,30.016796,180300,道路附属设施,服务区,高速服务区,POINT (121.425278 30.016796)
24422,奉化服务区,尚田镇上宅弄东大路3号,,浙江省,宁波市,奉化区,330213,121.442596,29.612278,180300,道路附属设施,服务区,高速服务区,POINT (121.442596 29.612278)
24874,天台服务区,坦头镇岭头村,0576-83728051,浙江省,台州市,天台县,331023,121.079308,29.133274,180300,道路附属设施,服务区,高速服务区,POINT (121.079308 29.133274)
24875,天台服务区,天台服务区,,浙江省,台州市,天台县,331023,121.079002,29.13225,180300,道路附属设施,服务区,高速服务区,POINT (121.079002 29.13225)
26148,仙居服务区,,,浙江省,台州市,仙居县,331024,120.565605,28.740316,180300,道路附属设施,服务区,高速服务区,POINT (120.565605 28.740316)
26149,仙居服务区,,,浙江省,台州市,仙居县,331024,120.565735,28.738914,180300,道路附属设施,服务区,高速服务区,POINT (120.565735 28.738914)
26150,神仙居服务区,,,浙江省,台州市,仙居县,331024,120.637383,28.72773,180300,道路附属设施,服务区,高速服务区,POINT (120.637383 28.72773)
